# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
na me duo 	那麼多	c=3 d=2.9309e-33 t=48101
na me duo ren 	那麼多人	c=1 d=7.5782e-62 t=48101
na me gao 	那麼高	c=1 d=3.0657e-62 t=48101
na me shuo 	那麼說	c=1 d=5.77699e-75 t=48101
na neng 	哪能	c=1 d=9.6128e-07 t=48101
na ni 	納尼	c=1 d=4.31903e-65 t=48101
na ni 	那你	c=3 d=2.37162e-42 t=48101
na ni jiu 	那你就	c=1 d=5.07636e-54 t=48101
na nin 	那您	c=1 d=1.25749e-19 t=48101
na pian 	那篇	c=1 d=2.4387e-76 t=48101
na qian 	拿錢	c=1 d=6.54305e-40 t=48101
na qu 	拿去	c=2 d=8.8274e-63 t=48101
na shi 	那是	c=2 d=3.54539e-37 t=48101
na shi hou 	那時候	c=1 d=2.80813e-59 t=48101
na shui 	納稅	c=1 d=4.83403e-08 t=48101
na tiao 	哪條	c=1 d=3.44072e-08 t=48101
na wo 	那我	c=3 d=3.51871e-07 t=48101
na wo men 	拿我們	c=1 d=1.27649e-19 t=48101
na xie 	哪些	c=8 d=5.51844e-07 t=48101
na xie 	那些	c=3 d=3.75439e-05 t=48101
na yang 	那樣	c=2 d=9.32681e-34 t=48101
na yi bu 	哪一步	c=7 d=0.00293808 t=48101
na yi bu 	那一步	c=1 d=4.72432e-32 t=48101
na yi tiao 	哪一條	c=1 d=3.14458e-08 t=48101
na you 	哪有	c=2 d=1.53481e-40 t=48101
na zhe 	拿着	c=1 d=7.67809e-69 t=48101
na zhong 	哪種	c=2 d=8.81389e-45 t=48101
na zhong 	那種	c=3 d=5.55254e-50 t=48101
na zou 	拿走	c=1 d=1.75993e-62 t=48101
nai ke 	耐克	c=21 d=0.000626727 t=48101
nai xin 	耐心	c=67 d=0.696538 t=48101
nan 	南	c=2 d=7.68888e-78 t=48101
nan 	男	c=4 d=0.0761538 t=48101
nan 	難	c=7 d=5.96852e-47 t=48101
nan du 	難度	c=4 d=2.9192e-05 t=48101
nan guai 	難怪	c=2 d=4.06323e-82 t=48101
nan kan 	難看	c=1 d=5.76207e-74 t=48101
nan le 	難了	c=1 d=0.00158052 t=48101
nan lu 	南路	c=1 d=5.83802e-81 t=48101
nan men 	南門	c=0 d=5.3623e-82 t=48101
nan men zhan 	南門站	c=1 d=5.38918e-81 t=48101
nan mian 	難免	c=1 d=3.09134e-13 t=48101
nan peng you 	男朋友	c=1 d=1 t=40830
nan ping 	南平	c=1 d=5.15467e-87 t=48101
nan sheng 	男生	c=2 d=6.03281e-26 t=48101
nan shou 	難受	c=3 d=7.69303e-48 t=48101
nan ti 	難題	c=1 d=1 t=44975
nan ting 	難聽	c=1 d=4.1641e-47 t=48101
nan xing 	男性	c=2 d=3.84074e-36 t=48101
nan yang 	南陽	c=3 d=4.28404e-07 t=48101
nan yang zhen 	南陽鎮	c=4 d=4.55554e-06 t=48101
nao bai jin 	腦白金	c=3 d=7.9952e-46 t=48101
nao bai zhi 	腦白質	c=1 d=4.7923e-53 t=48101
nao zhong 	鬧鐘	c=7 d=2.13726e-40 t=48101
ne 	呢	c=48 d=0.00979655 t=48101
ne ne 	呢呢	c=1 d=1.15463e-15 t=48101
nei 	內	c=11 d=0.00191125 t=48101
nei bu 	內部	c=14 d=0.336216 t=48101
nei ce 	內測	c=1 d=9.20644e-87 t=48101
nei cun 	內存	c=18 d=2.377 t=48101
nei cun ka 	內存卡	c=1 d=1.48277e-46 t=48101
nei dou 	內鬥	c=1 d=5.07102e-71 t=48101
nei he 	內核	c=1 d=1.7939e-81 t=48101
nei meng 	內蒙	c=1 d=6.95238e-48 t=48101
nei meng gu 	內蒙古	c=9 d=3.01214e-55 t=48101
nei mu 	內幕	c=4 d=3.08694e-55 t=48101
nei qian 	內嵌	c=1 d=5.50197e-60 t=48101
nei rong 	內容	c=16 d=5.5461e-07 t=48101
nei rong chen jiu 	內容陳舊	c=1 d=1.27884e-70 t=48101
nei she 	內射	c=1 d=1.67211e-48 t=48101
nei tui 	內推	c=1 d=2.668e-45 t=48101
nei wai 	內外	c=1 d=1.74842e-73 t=48101
nei wai bu 	內外部	c=1 d=7.72184e-77 t=48101
nei wang 	內網	c=2 d=0.453845 t=48101
nei yi 	內衣	c=1 d=5.84101e-87 t=48101
neng 	能	c=126 d=0.625149 t=48101
neng ba 	能把	c=2 d=2.93429e-76 t=48101
neng bu 	能不	c=1 d=1.48222e-71 t=48101
neng bu neng 	能不能	c=13 d=1.0236e-09 t=48101
neng gan 	能幹	c=1 d=8.75623e-56 t=48101
neng gou 	能夠	c=1 d=2.28127e-85 t=48101
neng kan 	能看	c=1 d=7.22481e-59 t=48101
neng kan dao 	能看到	c=1 d=3.71881e-40 t=48101
neng li 	能力	c=1 d=4.81058e-39 t=48101
neng shuo 	能說	c=1 d=1.27268e-72 t=48101
neng shuo hui dao 	能說會道	c=3 d=5.38837e-72 t=48101
neng yong 	能用	c=3 d=3.54901e-49 t=48101
neng zhao dao 	能找到	c=1 d=4.59641e-62 t=48101
neng zhuan qian 	能賺錢	c=1 d=1.9437e-54 t=48101
ni 	你	c=251 d=1.74327 t=48101
ni ba 	你把	c=5 d=8.16797e-43 t=48101
ni ba 	你爸	c=1 d=7.611e-54 t=48101
ni bu shi 	你不是	c=2 d=2.11004e-45 t=48101
ni dao 	你到	c=1 d=3.81867e-87 t=48101
ni de 	你得	c=1 d=1.8251e-78 t=48101
ni de 	你的	c=29 d=9.18851e-07 t=48101
ni fa 	你發	c=1 d=3.78982e-86 t=48101
ni fang xin 	你放心	c=1 d=5.21462e-76 t=48101
ni ge 	你哥	c=2 d=7.8524e-39 t=48101
ni hai 	你還	c=1 d=1.9579e-22 t=48101
ni hao 	你好	c=31 d=0.0417709 t=48101
ni hao ya 	你好呀	c=1 d=7.25585e-80 t=48101
ni he 	你和	c=1 d=1.2888e-73 t=48101
ni jiu 	你就	c=3 d=6.59399e-43 t=48101
ni jiu shuo 	你就說	c=1 d=5.96325e-66 t=48101
ni jue de 	你覺得	c=2 d=4.07817e-37 t=48101
ni kan kan 	你看看	c=1 d=6.70163e-57 t=48101
ni ke yi 	你可以	c=7 d=1.70264e-55 t=48101
ni mei 	你沒	c=1 d=3.16078e-39 t=48101
ni men 	你們	c=15 d=6.377e-10 t=48101
ni ming 	匿名	c=13 d=5.68533e-63 t=48101
ni ming qu 	匿名區	c=1 d=1.37751e-62 t=48101
ni na bian 	你那邊	c=3 d=1.44518e-38 t=48101
ni na ge 	你那個	c=1 d=1.33407e-38 t=48101
ni ne 	你呢	c=5 d=6.35637e-23 t=48101
ni neng 	你能	c=1 d=1 t=43547
ni ni 	妮妮	c=1 d=4.04529e-30 t=48101
ni ping 	倪萍	c=1 d=1.40457e-85 t=48101
ni qu 	你去	c=1 d=5.49822e-52 t=48101
ni shi 	你是	c=2 d=1.3435e-62 t=48101
ni shi wo 	你是我	c=1 d=7.20592e-87 t=48101
ni shuo 	你說	c=10 d=9.27232e-42 t=48101
ni wei sha 	你爲啥	c=1 d=1.93066e-63 t=48101
ni xiang 	逆向	c=2 d=1.5001e-68 t=48101
ni yao 	你要	c=2 d=1.70618e-50 t=48101
ni ye 	你也	c=4 d=4.81222e-43 t=48101
ni zai 	你在	c=3 d=1.44238e-37 t=48101
ni zhi dao 	你知道	c=1 d=3.30099e-79 t=48101
nian 	年	c=22 d=0.000633025 t=48101
nian di 	年底	c=2 d=0.00337959 t=48101
nian fen 	年份	c=2 d=2.64157e-37 t=48101
nian ji qing qing 	年紀輕輕	c=1 d=7.52502e-38 t=48101
nian ling 	年齡	c=2 d=0.000262568 t=48101
nian mo 	年末	c=2 d=1.99501 t=46512
nian qing 	年輕	c=1 d=5.31002e-54 t=48101
nian xi 	年息	c=0 d=9.11077e-24 t=48101
nian xian 	年限	c=2 d=2.91257e-52 t=48101
nian zhong 	年終	c=1 d=1.15404e-09 t=48101
niao chao 	鳥巢	c=2 d=9.88334e-10 t=48101
niao kan tu 	鳥瞰圖	c=1 d=4.31302e-78 t=48101
niao xing 	尿性	c=1 d=1.18951e-71 t=48101
nin 	您	c=741 d=1.7632 t=48101
nin dao 	您到	c=2 d=2.03535e-19 t=48101
nin de 	您的	c=84 d=0.229925 t=48101
nin fu zhi 	您複製	c=1 d=1.07972e-20 t=48101
nin hao 	您好	c=71 d=0.0564329 t=48101
nin jiu 	您就	c=1 d=7.91513e-15 t=48101
nin kan 	您看	c=2 d=9.46938e-36 t=48101
nin ke yi 	您可以	c=5 d=4.40776e-09 t=48101
nin shang wu 	您上午	c=1 d=4.67254e-20 t=48101
nin shi 	您是	c=4 d=5.11083e-16 t=48101
nin xian 	您先	c=4 d=2.26704e-11 t=48101
nin xiang 	您想	c=1 d=1.09734e-34 t=48101
nin yao 	您要	c=1 d=4.26153e-25 t=48101
nin you shi jian 	您有時間	c=1 d=3.74661e-10 t=48101
nin zai 	您再	c=1 d=4.30875e-37 t=48101
nin zhe hui 	您這會	c=1 d=3.6541e-10 t=48101
nin zi ji 	您自己	c=1 d=1 t=41800
ning de 	寧德	c=4 d=2.06282e-07 t=48101
ning de shi 	寧德市	c=1 d=2.1287e-06 t=48101
ning e 	獰惡	c=1 d=1.43964e-81 t=48101
ning hao 	甯浩	c=1 d=6.48181e-86 t=48101
ning hao wang 	甯浩網	c=1 d=6.00335e-86 t=48101
niu 	牛	c=6 d=0.191092 t=48101
niu bi 	牛逼	c=1 d=1.76545e-40 t=48101
niu dun 	牛頓	c=2 d=1.9802 t=46491
niu nai 	牛奶	c=2 d=6.51653e-50 t=48101
niu yue 	紐約	c=1 d=4.33685e-84 t=48101
niu yue da xue 	紐約大學	c=1 d=4.42446e-84 t=48101
nong 	弄	c=16 d=7.15581e-07 t=48101
nong 	農	c=1 d=1.81865e-07 t=48101
nong bu lai 	弄不來	c=1 d=1.09843e-75 t=48101
nong chang 	農場	c=3 d=1.39329e-49 t=48101
nong cheng 	弄成	c=1 d=3.85915e-64 t=48101
nong cun 	農村	c=4 d=1.52265e-06 t=48101
nong cuo 	弄錯	c=1 d=1 t=45344
nong cuo le 	弄錯了	c=2 d=1.74942e-21 t=48101
nong de 	弄的	c=1 d=1.3304e-35 t=48101
nong dian 	弄點	c=1 d=6.73888e-34 t=48101
nong ge 	弄個	c=3 d=2.57492e-39 t=48101
nong ha gen 	弄哈根	c=1 d=7.15703e-07 t=48101
nong hang 	農行	c=2 d=0.268474 t=48101
nong hao 	弄好	c=1 d=6.57249e-34 t=48101
nong ken 	農墾	c=0 d=0.1 t=42107
nong ken inboard apple 	農墾Inboard	c=2 d=1 t=46619
nong le 	弄了	c=3 d=4.62167e-48 t=48101
nong min gong 	農民工	c=2 d=1.00818e-71 t=48101
nong ming bai 	弄明白	c=2 d=2.88235e-13 t=48101
nong nong 	弄弄	c=1 d=5.61314e-38 t=48101
nong nong kai 	弄弄開	c=1 d=5.46429e-38 t=48101
nong wan 	弄完	c=1 d=6.20808e-10 t=48101
nong xia lai 	弄下來	c=1 d=3.5803e-64 t=48101
nong ye 	農業	c=1 d=1.07445e-80 t=48101
nong yi ge 	弄一個	c=1 d=1.26332e-44 t=48101
nu li 	努力	c=2 d=1.14174e-52 t=48101
nuan 	暖	c=1 d=5.98499e-50 t=48101
nuo 	挪	c=1 d=1.22303e-45 t=48101
nuo ji ya 	諾基亞	c=7 d=2.17507 t=42880
nv 	女	c=3 d=0.0765355 t=48101
nv de 	女的	c=4 d=3.30626e-39 t=48101
nv er 	女兒	c=1 d=5.29704e-84 t=48101
nv peng you 	女朋友	c=5 d=7.25499e-49 t=48101
nv sheng 	女生	c=4 d=9.91029e-42 t=48101
nv shi 	女士	c=1 d=1 t=46382
nv xing 	女性	c=2 d=3.88967e-36 t=48101
nv zhu bo 	女主播	c=1 d=2.22995e-82 t=48101
nv zhuang 	女裝	c=1 d=2.49611e-85 t=48101
nve 	虐	c=0 d=1.93374e-24 t=48101
o 	哦	c=29 d=0.00205591 t=48101
o 	噢	c=2 d=3.85115e-70 t=48101
o k 	OK	c=4 d=1.02611e-19 t=48101
o o 	哦哦	c=2 d=1.12255e-19 t=48101
ou mei 	歐美	c=2 d=5.08101e-06 t=48101
ou niao 	鷗鳥	c=0 d=5.88386e-27 t=48101
pa 	啪	c=4 d=3.6886e-48 t=48101
pa 	怕	c=17 d=0.00392852 t=48101
pa chong 	爬蟲	c=1 d=3.06684e-37 t=48101
pa pa 	啪啪	c=5 d=8.96402e-48 t=48101
pa pa pa 	啪啪啪	c=1 d=6.05976e-49 t=48101
pa sha 	怕啥	c=4 d=2.34004e-53 t=48101
pa shen me 	怕什麼	c=1 d=1.10416e-48 t=48101
pa ta 	怕他	c=1 d=2.98118e-86 t=48101
pai 	拍	c=9 d=0.00016826 t=48101
pai 	排	c=4 d=6.45914e-43 t=48101
pai ban 	排版	c=5 d=6.75495e-62 t=48101
pai ban biao 	排版表	c=2 d=9.66139e-88 t=48101
pai cha 	排查	c=1 d=2.81349e-52 t=48101
pai chu 	排除	c=10 d=2.70557e-07 t=48101
pai chu lai 	拍出來	c=1 d=6.76783e-55 t=48101
pai de 	拍的	c=2 d=1.03947e-73 t=48101
pai gei 	拍給	c=0 d=5.74133e-62 t=48101
pai gei wo 	拍給我	c=2 d=1.16568e-60 t=48101
pai guo 	拍過	c=1 d=1.38084e-61 t=48101
pai hang 	排行	c=3 d=1.86732e-15 t=48101
pai lie 	排列	c=1 d=5.05551e-35 t=48101
pai ming 	排名	c=2 d=4.21522e-84 t=48101
pai she 	拍攝	c=2 d=0.000338031 t=48101
pai xia 	拍下	c=32 d=0.265803 t=48101
pai xia apple 	拍下	c=1 d=1 t=45268
pai xia lai 	拍下來	c=1 d=8.52579e-07 t=48101
pai xu 	排序	c=3 d=1.90861 t=47934
pai yi ge 	拍一個	c=3 d=0.00628242 t=48101
pai yi xia 	拍一下	c=1 d=6.99913e-68 t=48101
pai zhao 	拍照	c=2 d=6.61418e-71 t=48101
pan 	判	c=1 d=8.89822e-10 t=48101
pan 	盤	c=3 d=1.44257e-47 t=48101
pan ding 	判定	c=11 d=4.20607e-09 t=48101
pan duo la 	潘多拉	c=1 d=4.77652e-73 t=48101
pan wei 	判爲	c=2 d=8.17312e-10 t=48101
pang 	胖	c=1 d=2.7966e-40 t=48101
pao 	拋	c=1 d=8.83972e-50 t=48101
pao 	泡	c=1 d=2.21279e-50 t=48101
pao 	跑	c=1 d=3.39112e-43 t=48101
pao chu 	拋出	c=1 d=5.12231e-13 t=48101
pao dao 	跑道	c=3 d=1.17159e-77 t=48101
pao le 	跑了	c=1 d=3.19581e-51 t=48101
pao shang pao xia 	跑上跑下	c=1 d=1.00892e-75 t=48101
pei 	配	c=3 d=0.506617 t=48101
pei 	陪	c=2 d=1.64273e-16 t=48101
pei jia 	陪嫁	c=1 d=1.38276e-48 t=48101
pei liao 	陪聊	c=37 d=3.81406e-56 t=48101
pei liao jun 	陪聊軍	c=3 d=5.43078e-76 t=48101
pei ni 	陪你	c=2 d=3.53942e-66 t=48101
pei nin 	陪您	c=1 d=1.01913e-17 t=48101
pei ren 	陪人	c=1 d=2.45218e-82 t=48101
pei se 	配色	c=3 d=2.4701e-73 t=48101
pei shi 	配飾	c=1 d=1 t=46438
pei song 	配送	c=1 d=0.000427488 t=48101
pei song zhong 	配送中	c=1 d=0.0042963 t=48101
pei xun 	培訓	c=5 d=0.000311944 t=48101
pei zhi 	配置	c=49 d=2.31409 t=48101
pen you quan 	盆友圈	c=1 d=4.07873e-68 t=48101
peng 	鵬	c=1 d=2.42234e-85 t=48101
peng you 	朋友	c=8 d=3.6282e-10 t=48101
peng you quan 	朋友圈	c=5 d=3.52769e-64 t=48101
pi 	批	c=0 d=1.14466e-61 t=48101
pi 	皮	c=2 d=1.1794e-49 t=48101
pi fa 	批發	c=1 d=1 t=41630
pi fu 	皮膚	c=3 d=1.34403 t=48101
pi liang 	批量	c=4 d=7.26396e-05 t=48101
pi mei 	媲美	c=1 d=1 t=46385
pi pei 	匹配	c=5 d=0.000578542 t=48101
pi pei shang 	匹配上	c=2 d=2.31024e-57 t=48101
pi pi 	皮皮	c=0 d=3.93363e-84 t=48101
pi pi gao xiao 	皮皮搞笑	c=2 d=2.03698e-76 t=48101
pi pi xia 	皮皮蝦	c=2 d=2.02682e-76 t=48101
pi qi 	脾氣	c=1 d=2.90519e-47 t=48101
pian 	偏	c=1 d=2.28445e-72 t=48101
pian 	片	c=2 d=0.12493 t=48101
pian 	篇	c=1 d=1.44813e-62 t=48101
pian 	騙	c=7 d=9.00149e-57 t=48101
pian duan 	片段	c=2 d=2.01465e-58 t=48101
pian guo qu 	騙過去	c=1 d=4.62181e-68 t=48101
pian hao 	偏好	c=1 d=0.00690852 t=48101
pian ju 	騙局	c=3 d=2.99418e-49 t=48101
pian ke 	片刻	c=2 d=1.46121e-22 t=48101
pian le 	騙了	c=5 d=9.4503e-68 t=48101
pian li 	偏離	c=1 d=2.5873e-66 t=48101
pian qu 	騙取	c=2 d=5.31303e-57 t=48101
pian ren 	騙人	c=1 d=1.10664e-45 t=48101
pian yi 	便宜	c=12 d=6.6079e-09 t=48101
pian yi 	偏移	c=1 d=4.1827e-70 t=48101
pian zi 	騙子	c=58 d=4.36629e-46 t=48101
pian zi duo 	騙子多	c=1 d=1.38037e-57 t=48101
piao 	飄	c=1 d=1.44793e-31 t=48101
piao liang 	漂亮	c=3 d=1.39889e-08 t=48101
pin 	拼	c=4 d=2.47917e-05 t=48101
pin dao 	頻道	c=2 d=1.99005 t=46867
pin duo de 	拼多的	c=1 d=5.25109e-11 t=48101
pin duo duo 	拼多多	c=5 d=5.16326e-06 t=48101
pin fan 	頻繁	c=4 d=4.45388e-15 t=48101
pin ku 	貧苦	c=3 d=7.13225e-25 t=48101
pin lv 	頻率	c=2 d=7.39888e-45 t=48101
pin pai 	品牌	c=8 d=0.000200439 t=48101
pin pai gu shi 	品牌故事	c=2 d=3.77335e-56 t=48101
pin qi lai 	拼起來	c=1 d=5.91939e-38 t=48101
pin qing 	聘請	c=1 d=2.00597e-72 t=48101
pin si pin huo 	拼死拼活	c=1 d=3.82335e-72 t=48101
pin yin 	拼音	c=1 d=8.95043e-20 t=48101
pin zhi 	品質	c=1 d=9.8318e-75 t=48101
pin zhi hao xie 	品質好鞋	c=1 d=8.66145e-75 t=48101
ping 	蘋	c=0 d=2.28803e-62 t=48101
ping bai 	平白	c=2 d=1.13392e-08 t=48101
ping bi 	屏蔽	c=6 d=0.0485968 t=48101
ping fang 	平方	c=0 d=2.27662e-62 t=48101
ping fang ti 	平方體	c=1 d=2.28803e-61 t=48101
ping fang ti 	蘋方體	c=3 d=7.28458e-61 t=48101
ping fen 	評分	c=1 d=9.06504e-52 t=48101
ping gu 	評估	c=3 d=2.90223e-35 t=48101
ping guo 	蘋果	c=67 d=1.69939 t=48101
ping guo ti 	蘋果體	c=2 d=1.74351e-78 t=48101
ping guo yin yue 	蘋果音樂	c=1 d=1 t=45082
ping jia 	評價	c=14 d=5.58046e-11 t=48101
ping jing 	瓶頸	c=1 d=1.48873e-05 t=48101
ping jun 	平均	c=1 d=1 t=47910
ping lun 	評論	c=11 d=0.224829 t=48101
ping mian 	平面	c=1 d=4.68512e-81 t=48101
ping mian tu 	平面圖	c=1 d=4.59235e-81 t=48101
ping mu 	屏幕	c=3 d=0.0182243 t=48101
ping mu she tou 	屏幕舌頭	c=1 d=2.18126e-87 t=48101
ping mu suo 	屏幕鎖	c=1 d=1 t=42346
ping shi 	平時	c=4 d=9.68565e-49 t=48101
ping tai 	平臺	c=26 d=6.95131e-57 t=48101
ping wei 	評爲	c=1 d=3.3788e-59 t=48101
ping xing 	平行	c=1 d=1.79396e-52 t=48101
ping yi 	平移	c=1 d=8.19375e-69 t=48101
ping you 	平郵	c=1 d=1.00324e-38 t=48101
po 	破	c=1 d=0.000575656 t=48101
po jie 	破解	c=12 d=0.814655 t=48101
po jie ban 	破解版	c=8 d=1.65493 t=48101
po la 	潑辣	c=2 d=3.20701e-55 t=48101
po le 	破了	c=1 d=2.37283e-48 t=48101
pou xi 	剖析	c=1 d=9.52302e-73 t=48101
pu bian 	普遍	c=2 d=1.68748e-38 t=48101
pu du 	普渡	c=1 d=4.38043e-84 t=48101
pu huo 	鋪貨	c=1 d=7.96997e-08 t=48101
pu jing 	普京	c=2 d=1.99501 t=47704
pu kai 	鋪開	c=1 d=1.64576e-67 t=48101
pu tao 	葡萄	c=4 d=7.93511e-74 t=48101
pu tao jiu 	葡萄酒	c=1 d=5.85133e-49 t=48101
pu tao yuan 	葡萄園	c=2 d=3.93161e-68 t=48101
pu tian 	莆田	c=6 d=3.45065e-53 t=48101
pu tian xie 	莆田鞋	c=4 d=0.0023461 t=48101
pu tong 	普通	c=4 d=9.49066e-33 t=48101
q q 	QQ	c=3 d=0.0739031 t=48101
qi 	七	c=3 d=0.190139 t=48101
qi 	企	c=0 d=0.0644036 t=48101
qi 	其	c=1 d=5.72883e-06 t=48101
qi 	啓	c=2 d=0.379083 t=48101
qi 	器	c=6 d=0.0759618 t=48101
qi 	奇	c=0 d=1.33081e-69 t=48101
qi 	期	c=1 d=2.95422e-38 t=48101
qi 	起	c=2 d=8.74757e-15 t=48101
qi cha cha 	企查查	c=5 d=0.647265 t=48101
qi che 	汽車	c=2 d=9.63768e-08 t=48101
qi cheng 	啓程	c=1 d=1.38182e-40 t=48101
qi ci 	其次	c=1 d=3.95133e-77 t=48101
qi dai 	期待	c=4 d=3.42345e-37 t=48101
qi dao 	起到	c=1 d=1.80927e-05 t=48101
qi dian 	起點	c=1 d=8.96539e-69 t=48101
qi dong 	啓動	c=40 d=2.06889 t=48101
qi dong hou 	啓動後	c=1 d=7.20125e-50 t=48101
qi e 	企鵝	c=1 d=6.78304e-52 t=48101
qi fei 	起飛	c=4 d=3.74003e-30 t=48101
qi fen ku 	七分褲	c=1 d=1 t=47963
qi ge ming zi 	起個名字	c=1 d=1.05939e-61 t=48101
qi guai 	奇怪	c=6 d=1.01057e-06 t=48101
qi guai le 	奇怪了	c=1 d=1.87755e-29 t=48101
qi jian 	期間	c=8 d=0.00323088 t=48101
qi jian dian 	旗艦店	c=1 d=1.56709e-79 t=48101
qi lai 	起來	c=5 d=6.88437e-43 t=48101
qi lai le 	起來了	c=1 d=6.92124e-54 t=48101
qi mo 	期末	c=1 d=4.78155e-56 t=48101
qi niu yun 	七牛雲	c=13 d=1.12021 t=48101
qi pan 	棋盤	c=1 d=9.8659e-48 t=48101
qi pao 	氣泡	c=3 d=1.00328 t=46844
qi pian 	欺騙	c=4 d=6.50356e-57 t=48101
qi shi 	其實	c=5 d=3.44834e-34 t=48101
qi si 	氣死	c=1 d=2.0653e-62 t=48101
qi ta 	其他	c=94 d=0.887965 t=48101
qi ta ren 	其他人	c=7 d=0.00096827 t=48101
qi te 	奇特	c=1 d=8.2865e-25 t=48101
qi te wu bi 	奇特無比	c=1 d=4.47378e-38 t=48101
qi xian 	期限	c=2 d=0.29523 t=48101
qi ye 	企業	c=14 d=3.47044e-06 t=48101
qi yong 	啓用	c=5 d=5.91757e-05 t=48101
qi yue 	七月	c=2 d=2.76537e-47 t=48101
qi zhong 	其中	c=1 d=2.09188e-36 t=48101
qia 	卡	c=0 d=9.11077e-24 t=48101
qia nian xi na ge 	卡年息那個	c=1 d=9.15644e-23 t=48101
qian 	前	c=24 d=0.00419584 t=48101
qian 	千	c=1 d=0.0178634 t=48101
qian 	錢	c=14 d=5.21053e-08 t=48101
qian bao 	錢包	c=4 d=4.2758e-06 t=48101
qian bao li 	錢包裏	c=1 d=4.50065e-79 t=48101
qian bi 	鉛筆	c=1 d=3.73352e-57 t=48101
qian bi dao 	鉛筆道	c=2 d=3.71489e-57 t=48101
qian dao 	簽到	c=2 d=3.07207e-57 t=48101
qian duan 	前端	c=8 d=6.12835e-05 t=48101
qian ji tian 	前幾天	c=1 d=4.40104e-51 t=48101
qian jing 	前景	c=1 d=2.9496e-49 t=48101
qian li gu 	潛力股	c=1 d=0.000452827 t=48101
qian li zhi xing 	千里之行	c=1 d=4.98686e-80 t=48101
qian liang tian 	前兩天	c=1 d=5.39796e-12 t=48101
qian liang xiang 	前兩項	c=8 d=2.15119e-12 t=48101
qian mian 	前面	c=1 d=2.44302e-38 t=48101
qian ming 	簽名	c=1 d=1 t=45935
qian niu 	千牛	c=32 d=0.448609 t=48101
qian ren 	前人	c=1 d=2.2719e-66 t=48101
qian shen 	前身	c=1 d=1.5467e-72 t=48101
qian tai 	前臺	c=2 d=1.15518e-50 t=48101
qian wang 	前往	c=9 d=0.420954 t=48101
qian xi 	前戲	c=1 d=1.99189e-48 t=48101
qian xian 	前線	c=4 d=1.98992e-07 t=48101
qian xu 	謙虛	c=1 d=1 t=45016
qian yi bu 	前一步	c=2 d=5.15609e-31 t=48101
qian yuan gong 	前員工	c=1 d=6.21739e-57 t=48101
qian yue 	簽約	c=1 d=3.29079e-72 t=48101
qian zhen zi 	前陣子	c=1 d=4.70556e-44 t=48101
qian zheng 	簽證	c=1 d=2.84128e-50 t=48101
qiang 	強	c=1 d=3.54841e-47 t=48101
qiang 	搶	c=1 d=8.03723e-48 t=48101
qiang da 	強大	c=1 d=5.20116e-75 t=48101
qiang diao 	強調	c=2 d=1.65406e-38 t=48101
qiang jian 	強健	c=1 d=1.10506e-87 t=48101
qiang shou 	搶手	c=1 d=2.02062e-40 t=48101
qiang shua 	強刷	c=1 d=1 t=42114
qiang ti 	牆體	c=1 d=1.08525e-80 t=48101
qiang zhi 	強制	c=2 d=0.50409 t=48101
qiao bu si 	喬布斯	c=2 d=2.49059e-59 t=48101
qiao dan 	喬丹	c=4 d=2.98659e-75 t=48101
qiao men 	敲門	c=1 d=9.08541e-49 t=48101
qiao qiao 	悄悄	c=1 d=0.00217658 t=48101
qie 	切	c=1 d=1 t=44395
qie huan 	切換	c=17 d=0.0215037 t=48101
qie ji 	切記	c=2 d=3.07583e-42 t=48101
qin 	親	c=1 d=2.13966e-37 t=48101
qin fan 	侵犯	c=3 d=1.65054e-63 t=48101
qin qi 	親戚	c=1 d=3.0352e-62 t=48101
qin zi 	親自	c=1 d=9.62036e-75 t=48101
qing 	清	c=2 d=0.122456 t=48101
qing 	請	c=26 d=0.00271574 t=48101
qing bu yao 	請不要	c=1 d=3.4088e-16 t=48101
qing cang 	清倉	c=1 d=4.0354e-60 t=48101
qing chu 	清楚	c=3 d=4.50616e-64 t=48101
qing chu 	清除	c=22 d=8.45212e-21 t=48101
qing chu fu dong 	清除浮動	c=1 d=6.78766e-60 t=48101
qing chun 	青春	c=2 d=1.96561 t=44220
qing dan 	清單	c=4 d=0.000804733 t=48101
qing fang xin 	請放心	c=1 d=1 t=42478
qing hua 	清華	c=3 d=5.54687e-38 t=48101
qing jia 	請假	c=1 d=7.65436e-62 t=48101
qing jiao 	請教	c=2 d=1.0001 t=45958
qing kuang 	情況	c=29 d=0.404542 t=48101
qing kuang er 	情況二	c=1 d=1 t=43619
qing li 	清理	c=11 d=1.72784e-22 t=48101
qing liang 	輕量	c=6 d=4.92767e-12 t=48101
qing liang ji 	輕量級	c=1 d=4.83866e-78 t=48101
qing ling 	清零	c=4 d=0.00712852 t=48101
qing lv 	情侶	c=1 d=1 t=41877
qing qing 	輕輕	c=1 d=1 t=43422
qing qiu 	請求	c=5 d=0.0164078 t=48101
qing song 	輕鬆	c=3 d=3.95844e-10 t=48101
qing song 	青松	c=4 d=1.48554e-60 t=48101
qing song ji jin 	青松基金	c=5 d=5.34271e-63 t=48101
qing wen 	請問	c=32 d=1.19078 t=48101
